timestamp,road_id,road_name,avg_speed_kmh,congestion_level,vehicle_count,occupancy_pct,source_name
1718000000,RD_2001,GST Road (Kathipara - Guindy),25.9,MEDIUM,96,61.0,Mapunity_Chennai_Traffic_API
1718000000,RD_2002,Anna Salai (Guindy - Saidapet),21.2,MEDIUM,79,70.6,Mapunity_Chennai_Traffic_API
1718000000,RD_2003,Anna Salai (Saidapet - Nandanam),21.8,MEDIUM,143,56.8,Mapunity_Chennai_Traffic_API
1718000000,RD_2004,Venkatnarayana Road (Nandanam - T.Nagar),33.9,MEDIUM,67,81.3,Mapunity_Chennai_Traffic_API
1718000000,RD_2005,Anna Salai (Nandanam - Gemini Flyover),28.2,MEDIUM,152,68.3,Mapunity_Chennai_Traffic_API
1718000000,RD_2006,GN Chetty Road (T.Nagar - Gemini),30.9,MEDIUM,140,74.3,Mapunity_Chennai_Traffic_API
1718000300,RD_2001,GST Road (Kathipara - Guindy),38.3,LOW,99,34.1,Mapunity_Chennai_Traffic_API
1718000300,RD_2002,Anna Salai (Guindy - Saidapet),32.8,MEDIUM,131,30.0,Mapunity_Chennai_Traffic_API
1718000300,RD_2003,Anna Salai (Saidapet - Nandanam),34.4,MEDIUM,67,53.1,Mapunity_Chennai_Traffic_API
1718000300,RD_2004,Venkatnarayana Road (Nandanam - T.Nagar),25.9,MEDIUM,113,58.5,Mapunity_Chennai_Traffic_API
1718000300,RD_2005,Anna Salai (Nandanam - Gemini Flyover),26.5,MEDIUM,137,84.4,Mapunity_Chennai_Traffic_API
1718000300,RD_2006,GN Chetty Road (T.Nagar - Gemini),29.4,MEDIUM,163,56.1,Mapunity_Chennai_Traffic_API
1718000600,RD_2001,GST Road (Kathipara - Guindy),20.3,MEDIUM,163,83.6,Mapunity_Chennai_Traffic_API
1718000600,RD_2002,Anna Salai (Guindy - Saidapet),24.7,MEDIUM,100,82.1,Mapunity_Chennai_Traffic_API
1718000600,RD_2003,Anna Salai (Saidapet - Nandanam),34.3,MEDIUM,158,60.7,Mapunity_Chennai_Traffic_API
1718000600,RD_2004,Venkatnarayana Road (Nandanam - T.Nagar),41.5,LOW,173,64.6,Mapunity_Chennai_Traffic_API
1718000600,RD_2005,Anna Salai (Nandanam - Gemini Flyover),16.0,HIGH,50,35.3,Mapunity_Chennai_Traffic_API
1718000600,RD_2006,GN Chetty Road (T.Nagar - Gemini),33.5,MEDIUM,152,29.9,Mapunity_Chennai_Traffic_API
1718000900,RD_2001,GST Road (Kathipara - Guindy),26.5,MEDIUM,67,33.6,Mapunity_Chennai_Traffic_API
1718000900,RD_2002,Anna Salai (Guindy - Saidapet),31.7,MEDIUM,142,44.8,Mapunity_Chennai_Traffic_API
1718000900,RD_2003,Anna Salai (Saidapet - Nandanam),29.1,MEDIUM,96,79.0,Mapunity_Chennai_Traffic_API
1718000900,RD_2004,Venkatnarayana Road (Nandanam - T.Nagar),41.3,LOW,99,51.6,Mapunity_Chennai_Traffic_API
1718000900,RD_2005,Anna Salai (Nandanam - Gemini Flyover),29.7,MEDIUM,77,46.2,Mapunity_Chennai_Traffic_API
1718000900,RD_2006,GN Chetty Road (T.Nagar - Gemini),33.8,MEDIUM,59,32.9,Mapunity_Chennai_Traffic_API
1718001200,RD_2001,GST Road (Kathipara - Guindy),38.3,LOW,83,61.5,Mapunity_Chennai_Traffic_API
1718001200,RD_2002,Anna Salai (Guindy - Saidapet),26.0,MEDIUM,69,32.1,Mapunity_Chennai_Traffic_API
1718001200,RD_2003,Anna Salai (Saidapet - Nandanam),23.0,MEDIUM,90,49.6,Mapunity_Chennai_Traffic_API
1718001200,RD_2004,Venkatnarayana Road (Nandanam - T.Nagar),40.0,LOW,126,71.2,Mapunity_Chennai_Traffic_API
1718001200,RD_2005,Anna Salai (Nandanam - Gemini Flyover),36.5,LOW,110,32.0,Mapunity_Chennai_Traffic_API
1718001200,RD_2006,GN Chetty Road (T.Nagar - Gemini),37.2,LOW,92,65.7,Mapunity_Chennai_Traffic_API
1718001500,RD_2001,GST Road (Kathipara - Guindy),28.5,MEDIUM,47,60.1,Mapunity_Chennai_Traffic_API
1718001500,RD_2002,Anna Salai (Guindy - Saidapet),16.3,HIGH,100,47.6,Mapunity_Chennai_Traffic_API
1718001500,RD_2003,Anna Salai (Saidapet - Nandanam),24.1,MEDIUM,147,48.2,Mapunity_Chennai_Traffic_API
1718001500,RD_2004,Venkatnarayana Road (Nandanam - T.Nagar),37.0,LOW,68,35.9,Mapunity_Chennai_Traffic_API
1718001500,RD_2005,Anna Salai (Nandanam - Gemini Flyover),16.0,HIGH,140,68.3,Mapunity_Chennai_Traffic_API
1718001500,RD_2006,GN Chetty Road (T.Nagar - Gemini),25.8,MEDIUM,158,38.8,Mapunity_Chennai_Traffic_API
1718001800,RD_2001,GST Road (Kathipara - Guindy),38.0,LOW,102,64.2,Mapunity_Chennai_Traffic_API
1718001800,RD_2002,Anna Salai (Guindy - Saidapet),23.4,MEDIUM,125,38.1,Mapunity_Chennai_Traffic_API
1718001800,RD_2003,Anna Salai (Saidapet - Nandanam),36.9,LOW,108,48.0,Mapunity_Chennai_Traffic_API
1718001800,RD_2004,Venkatnarayana Road (Nandanam - T.Nagar),26.8,MEDIUM,65,78.0,Mapunity_Chennai_Traffic_API
1718001800,RD_2005,Anna Salai (Nandanam - Gemini Flyover),26.4,MEDIUM,110,29.2,Mapunity_Chennai_Traffic_API
1718001800,RD_2006,GN Chetty Road (T.Nagar - Gemini),22.9,MEDIUM,127,72.3,Mapunity_Chennai_Traffic_API
1718002100,RD_2001,GST Road (Kathipara - Guindy),29.4,MEDIUM,110,50.9,Mapunity_Chennai_Traffic_API
1718002100,RD_2002,Anna Salai (Guindy - Saidapet),22.9,MEDIUM,85,41.9,Mapunity_Chennai_Traffic_API
1718002100,RD_2003,Anna Salai (Saidapet - Nandanam),33.3,MEDIUM,157,36.7,Mapunity_Chennai_Traffic_API
1718002100,RD_2004,Venkatnarayana Road (Nandanam - T.Nagar),24.1,MEDIUM,95,45.7,Mapunity_Chennai_Traffic_API
1718002100,RD_2005,Anna Salai (Nandanam - Gemini Flyover),33.0,MEDIUM,120,82.9,Mapunity_Chennai_Traffic_API
1718002100,RD_2006,GN Chetty Road (T.Nagar - Gemini),20.2,MEDIUM,88,72.4,Mapunity_Chennai_Traffic_API
1718002400,RD_2001,GST Road (Kathipara - Guindy),22.0,MEDIUM,151,69.6,Mapunity_Chennai_Traffic_API
1718002400,RD_2002,Anna Salai (Guindy - Saidapet),38.4,LOW,104,49.5,Mapunity_Chennai_Traffic_API
1718002400,RD_2003,Anna Salai (Saidapet - Nandanam),38.3,LOW,147,25.2,Mapunity_Chennai_Traffic_API
1718002400,RD_2004,Venkatnarayana Road (Nandanam - T.Nagar),28.5,MEDIUM,96,25.1,Mapunity_Chennai_Traffic_API
1718002400,RD_2005,Anna Salai (Nandanam - Gemini Flyover),23.4,MEDIUM,87,55.7,Mapunity_Chennai_Traffic_API
1718002400,RD_2006,GN Chetty Road (T.Nagar - Gemini),36.8,LOW,97,40.8,Mapunity_Chennai_Traffic_API
1718002700,RD_2001,GST Road (Kathipara - Guindy),38.0,LOW,151,53.1,Mapunity_Chennai_Traffic_API
1718002700,RD_2002,Anna Salai (Guindy - Saidapet),29.3,MEDIUM,118,37.0,Mapunity_Chennai_Traffic_API
1718002700,RD_2003,Anna Salai (Saidapet - Nandanam),15.6,HIGH,71,73.4,Mapunity_Chennai_Traffic_API
1718002700,RD_2004,Venkatnarayana Road (Nandanam - T.Nagar),17.0,HIGH,53,82.7,Mapunity_Chennai_Traffic_API
1718002700,RD_2005,Anna Salai (Nandanam - Gemini Flyover),26.3,MEDIUM,139,83.2,Mapunity_Chennai_Traffic_API
1718002700,RD_2006,GN Chetty Road (T.Nagar - Gemini),31.9,MEDIUM,120,36.6,Mapunity_Chennai_Traffic_API
1718003000,RD_2001,GST Road (Kathipara - Guindy),17.7,HIGH,146,48.9,Mapunity_Chennai_Traffic_API
1718003000,RD_2002,Anna Salai (Guindy - Saidapet),19.7,HIGH,162,44.7,Mapunity_Chennai_Traffic_API
1718003000,RD_2003,Anna Salai (Saidapet - Nandanam),38.7,LOW,159,77.1,Mapunity_Chennai_Traffic_API
1718003000,RD_2004,Venkatnarayana Road (Nandanam - T.Nagar),33.8,MEDIUM,144,50.1,Mapunity_Chennai_Traffic_API
1718003000,RD_2005,Anna Salai (Nandanam - Gemini Flyover),40.8,LOW,90,46.6,Mapunity_Chennai_Traffic_API
1718003000,RD_2006,GN Chetty Road (T.Nagar - Gemini),20.6,MEDIUM,163,59.4,Mapunity_Chennai_Traffic_API
1718003300,RD_2001,GST Road (Kathipara - Guindy),39.0,LOW,142,36.0,Mapunity_Chennai_Traffic_API
1718003300,RD_2002,Anna Salai (Guindy - Saidapet),39.6,LOW,167,59.4,Mapunity_Chennai_Traffic_API
1718003300,RD_2003,Anna Salai (Saidapet - Nandanam),31.9,MEDIUM,166,64.9,Mapunity_Chennai_Traffic_API
1718003300,RD_2004,Venkatnarayana Road (Nandanam - T.Nagar),41.5,LOW,106,84.8,Mapunity_Chennai_Traffic_API
1718003300,RD_2005,Anna Salai (Nandanam - Gemini Flyover),29.1,MEDIUM,74,44.8,Mapunity_Chennai_Traffic_API
1718003300,RD_2006,GN Chetty Road (T.Nagar - Gemini),28.3,MEDIUM,130,64.3,Mapunity_Chennai_Traffic_API
